;Mes;Inflacion;petroleo$precio;Desempleo
1;15/02/2014;0.0285;100.82;5,58
2;15/03/2014;0.0311;100.8;5,61
3;15/04/2014;0.0323;102.07;5,65
4;15/05/2014;0.0341;102.18;5,72
5;15/06/2014;0.0367;105.79;5,45
6;15/07/2014;0.0411;103.59;5,195
7;15/08/2014;0.0415;96.54;4,93
8;15/09/2014;0.0419;93.21;4,67
9;15/10/2014;0.0398;84.4;4,6
10;15/11/2014;0.0376;75.79;4,57
11;15/12/2014;0.0367;59.29;4,54
12;15/01/2015;0.0353;47.22;4,69
13;15/02/2015;0.0405;50.58;4,76
14;15/03/2015;0.0376;47.82;4,84
15;15/04/2015;0.0432;54.45;5,21
16;15/05/2015;0.0455;59.27;5,39
17;15/06/2015;0.0487;59.82;5,58
18;15/07/2015;0.0436;50.9;5,53
19;15/08/2015;0.0414;42.87;5,5
20;15/09/2015;0.0378;45.48;5,48
21;15/10/2015;0.0348;46.22;5,52
22;15/11/2015;0.034;42.44;5,65
23;15/12/2015;0.0338;37.19;5,65
24;15/01/2016;0.0309;31.68;5,6
